,w,h,area,ratio
0,507.0,392.0,198744.0,1.2933673469387754
1,502.0,387.0,194274.0,1.297157622739018
2,469.0,383.0,179627.0,1.2245430809399478
3,488.0,388.0,189344.0,1.2577319587628866
4,428.0,313.0,133964.0,1.3674121405750799
5,512.0,383.0,196096.0,1.3368146214099217
6,505.0,375.0,189375.0,1.3466666666666667
7,462.0,393.0,181566.0,1.1755725190839694
8,512.0,417.0,213504.0,1.2278177458033572
9,509.0,381.0,193929.0,1.3359580052493438
10,458.0,328.0,150224.0,1.396341463414634
11,505.0,381.0,192405.0,1.3254593175853018
12,512.0,416.0,212992.0,1.2307692307692308
13,512.0,387.0,198144.0,1.322997416020672
14,512.0,405.0,207360.0,1.2641975308641975
15,449.0,346.0,155354.0,1.2976878612716762
16,505.0,400.0,202000.0,1.2625
17,512.0,337.0,172544.0,1.5192878338278932
18,498.0,385.0,191730.0,1.2935064935064935
19,494.0,355.0,175370.0,1.3915492957746478
20,497.0,372.0,184884.0,1.336021505376344
21,512.0,396.0,202752.0,1.292929292929293
22,483.0,389.0,187887.0,1.2416452442159382
23,510.0,381.0,194310.0,1.3385826771653544
24,472.0,355.0,167560.0,1.3295774647887324
25,503.0,356.0,179068.0,1.4129213483146068
26,481.0,342.0,164502.0,1.4064327485380117
27,464.0,393.0,182352.0,1.1806615776081424
28,506.0,356.0,180136.0,1.4213483146067416
29,512.0,418.0,214016.0,1.2248803827751196
30,455.0,347.0,157885.0,1.3112391930835734
31,483.0,348.0,168084.0,1.3879310344827587
32,499.0,339.0,169161.0,1.471976401179941
33,512.0,370.0,189440.0,1.3837837837837839
34,464.0,354.0,164256.0,1.310734463276836
35,474.0,363.0,172062.0,1.3057851239669422
36,433.0,377.0,163241.0,1.1485411140583555
37,501.0,364.0,182364.0,1.3763736263736264
38,476.0,348.0,165648.0,1.367816091954023
39,512.0,389.0,199168.0,1.3161953727506426
40,461.0,390.0,179790.0,1.182051282051282
41,463.0,363.0,168069.0,1.2754820936639117
42,512.0,386.0,197632.0,1.3264248704663213
43,512.0,407.0,208384.0,1.257985257985258
44,473.0,376.0,177848.0,1.2579787234042554
45,449.0,346.0,155354.0,1.2976878612716762
46,466.0,388.0,180808.0,1.2010309278350515
47,476.0,354.0,168504.0,1.344632768361582
48,481.0,465.0,223665.0,1.0344086021505376
49,450.0,315.0,141750.0,1.4285714285714286
50,495.0,372.0,184140.0,1.3306451612903225
51,508.0,377.0,191516.0,1.3474801061007957
52,506.0,388.0,196328.0,1.3041237113402062
53,507.0,386.0,195702.0,1.3134715025906736
54,470.0,410.0,192700.0,1.146341463414634
55,512.0,386.0,197632.0,1.3264248704663213
56,412.0,316.0,130192.0,1.3037974683544304
57,449.0,398.0,178702.0,1.1281407035175879
58,488.0,380.0,185440.0,1.2842105263157895
59,512.0,384.0,196608.0,1.3333333333333333
60,510.0,379.0,193290.0,1.345646437994723
61,474.0,345.0,163530.0,1.373913043478261
62,482.0,390.0,187980.0,1.235897435897436
63,475.0,372.0,176700.0,1.2768817204301075
64,512.0,403.0,206336.0,1.2704714640198511
65,497.0,359.0,178423.0,1.384401114206128
