,id,ret
0,C17949F6-AE5B-4F67-ABE6-AADBA6C0AECF,0
1,7615BB3F-16F6-460A-B87E-2B474F58C1C9,0
2,8A66B84F-15EE-45BC-BFC3-2E9E128CCC83,1
3,E5768E48-D036-405E-8913-32B5954FE2FB,1
4,51F6830F-7BFA-45FF-8B13-54295E03A4AE,0
5,CEF5AB9E-31C6-42C0-A9A7-2F625DFAE278,1
7,E783D61F-5706-4DDF-8B22-57A00DBF3058,1
8,34F66EAD-14F6-4D01-A08D-0CF682126F36,0
9,AAEFF4DC-DB6C-45A1-8134-A6098497E70F,0
13,E43CF972-25C1-48BF-BB51-21FE5F2362CE,1
14,A3916B79-26CD-4D73-98EF-5B776FAD432D,0
16,27AEA6E9-B4D8-4CF1-A5A5-5123312C3154,0
17,38FF3EAE-5903-498D-9DAA-535883E49586,1
18,110563E4-FBBA-45A7-AD4C-B5349AA35224,0
20,49FDA868-4E5D-4944-A271-4CDAB89B1A9A,0
21,62005883-CCA8-4890-B8AC-7E63E847678F,0
22,64BF90DA-2280-4D16-BD86-FAD8ADE5ACF7,1
23,8CF2597A-969A-40FB-94A1-390625107B10,1
24,8CD4D5C4-37A1-4617-A3A5-775CC1372DC2,0
25,8AF46E49-F9DF-453F-9907-745D66BB12AB,0
29,847DF588-45A5-497E-8DA2-3EB25D65F5DB,1
31,C3C9EE24-723B-47E6-9DD4-EEBAB81DEC51,1
36,D9CFC3D8-5B05-40DE-ACC7-862FC1175F74,0
38,1BB96C00-5A32-44F9-B16E-D2D98EACE623,0
39,B8D823D1-C9CD-4025-8866-3D0B8C5AE47A,1
40,35BA7F2A-DEA3-4A4F-BBAE-CB6D5BF1585F,1
41,811C86C7-9D12-4824-8DDD-FD4DE1D39DD3,1
46,E795BB1F-3D01-4C0E-8D49-3749267AE017,0
47,64BE4801-5C28-45EF-A97F-05B131ADC410,0
48,29296547-DC4C-45E8-8324-0956D0B42AAB,1
51,E964E837-D042-4DC1-90D7-CFCD691B71ED,0
52,C14FD58B-CB3D-4338-A28E-90FA993A5A51,1
53,109D9A2E-48EB-4EAB-B0B6-587BC92246B8,0
55,51064449-1145-4845-9ACE-8B6C1BEFF52B,0
58,46379A08-86AB-4E42-B21D-4A46D0EBB43D,0
59,C7F097B2-EF95-4E86-A1BC-162234BE063A,1
60,AD847098-EE39-4160-920C-0CF5562CF090,1
62,954CCD1D-CB7C-4079-841C-1A5DDF6726C2,0
65,7E24D508-EAE4-4F41-B64B-6AB5159AA59F,1
67,253A2163-496F-4754-8971-B57DE51C1079,1
68,0FD656C2-6A8F-4282-8EE1-3B3B4B8C028B,1
69,0FECF3CE-00FC-4931-A5A1-58A15466483F,1
70,2604430C-44B3-46F1-BF0F-CA950A85B760,0
71,60AB1076-31F5-43CC-A9A8-9753E14182D1,1
73,E2B8B575-FCFC-4707-82A4-4AB406D2437A,0
74,DB2CF918-0513-4AF4-B088-C191A52BD27F,0
76,4361838B-92E2-43D5-B55E-BA79485E65E1,0
77,4E1356A1-868E-4E01-8D08-6B91187AEC3B,1
79,C3A693D6-E37E-4239-A37E-5E6D8ECF0053,0
81,35952C4A-CA1F-40D5-95E8-3303FD6626DE,0
82,58F1B41D-E3B3-48E6-B0F3-E57044C1795E,1
83,D78F6A9F-19A7-4656-B47C-1CFA29DBF801,0
84,87B4B521-3545-44A1-AFC5-45FA1FD2B635,1
85,9FEAF2B0-95B2-4F9C-A975-DFEC8DA50373,1
86,75F26111-78C3-40E2-8C6C-F190A4637BE8,0
87,C3415842-292D-4EEB-AB34-F28186BA69E6,1
88,58641A5E-F317-42B8-95E8-3D4DC3DE8617,1
91,45EF5A53-B0F2-4CF4-9F8C-008370C34C3F,0
92,EBAFF46A-2E67-4782-892F-7F70573638A0,1
93,2A4E53DF-0631-4C52-8D53-9852A1852786,0
94,85A8844B-165B-4A4C-B4F4-75BC8EC83511,1
95,56D8320A-09D8-43C0-9FAC-7DA2244D9E05,1
97,E7B760A3-B211-466E-A517-C1D6BF82DB68,0
98,63A9F714-3D12-45BB-8187-3A781EDBAA0F,0
101,10F36A0E-12E0-41A9-82AC-AD2329433420,1
103,688AE51F-62DA-43D2-9238-475ABC08CA7C,0
104,CD328591-1319-4D0B-B958-4F1D31C25249,0
105,3A4D01A2-3FC0-400A-961D-D6D33BD8FB0A,0
106,1C928EA7-93B7-4B9E-AE78-A02A645102FB,1
107,94D6B420-39E1-4A27-9B76-F522E7E6075D,0
108,4BCF14FF-11CA-485A-B565-511CBC442B7D,1
109,2A0E9950-8315-43C2-B51E-1E53800DD7C4,1
111,84C81168-AD68-49D6-9AAF-0AAC24A0139F,0
114,34F03FC8-29DC-4B95-9388-A497E91CB5EC,0
116,FD7B3C90-80F0-4FD2-B297-568F4BFC2CD4,0
118,7C753F09-2750-4C34-B491-C750BB257EAA,0
121,52DBE93D-5DF7-4038-B05F-551415177811,0
122,0596C8F1-B251-4008-9B71-B8C70FEEC8B4,0
123,6CF71FC1-EDC5-491B-AC89-3B7A491FBC46,1
124,B05E0B1B-0A42-409E-B799-0F2C8CC0039B,0
125,9D030469-34D1-4AE4-A329-751819B7A322,1
128,194EC4C4-B285-4E60-9762-4EB5893C75BE,0
130,4B889099-F3AB-4534-AF61-FA24849AC248,0
131,528FE886-DD01-475A-8E42-CAD820A9D68D,1
132,C5E2BC28-6A15-4D6E-9282-023B5A8E1812,1
134,333346DA-FFB9-4484-85E8-642D784993EC,1
135,03E3FB1B-0314-4231-924A-5312CB87A5F5,0
136,68354F45-4E86-4C2E-9424-954E03FCECF6,1
138,CEF375B7-6BD6-44D8-B13B-AD1DDFD84D9D,0
140,DE8946C2-B710-44B6-8F7F-0B53B0FE0F2F,1
142,A5C4EDE3-8B90-41A5-819F-F1F114889E00,1
143,697921CE-E47A-4517-A03A-233B885C0431,0
144,5376EFCF-8D9C-4117-BC9A-5035D0F07CAE,0
145,4FD9F4D7-8E1D-41E2-BF55-E4BF8AC1C6DF,0
147,35E53F3C-D37C-4321-9539-97AF4FCF0196,1
150,1A8DA015-52D1-422F-97E0-75362A6C736A,0
151,8A8C95E6-5474-4572-8FD3-8F6D30D0E3B8,1
152,DE937A41-E000-43A8-837D-C68C3AF327FB,0
153,C574D3C0-05B5-411A-8A09-7409EE8B0E6B,0
154,EC7DB870-E75E-4C02-95FE-249A0359A45D,0
155,AE35265A-CB17-4FD0-9EDC-74624639A2DD,1
157,88F2013D-DFD9-4E37-BD42-F36A788381C2,1
158,6DB9A2C5-2522-4D8B-AD26-8AC73FA9CDA5,1
159,315FFE7D-B9ED-43B5-BD1C-4C86B923FCAE,1
160,A701729A-4AF0-4E08-8C78-F077D18CFA5F,1
161,1EC1A64B-472E-4837-9470-3313BC8BE602,1
163,6B1947F6-0591-4D36-8EBE-096A7C44893B,0
166,A3BC4450-74A6-4F2C-A60E-00DBD3F06DE8,0
168,23BC7F71-AD3B-4F80-AE8A-5CBA94D4EB19,0
170,009AA5F6-E691-4EF5-9142-1D264B7EB22D,1
171,06BEBF87-70F0-4FFA-913B-BA101D39D81E,1
172,F4C00FA6-DD6F-40BB-90C7-86101B144FD6,0
176,DD0E122F-B585-42BF-8B0D-7EAAE5E6452C,0
177,E2883D28-F223-40AD-9C27-3CB45AD77A69,0
178,EFE08252-71D5-4359-9624-77D571AD371D,0
181,16C687C9-FB9A-41B4-A730-4CC21C7BD1B7,0
182,A614E4E2-6A63-4FBE-B05A-ED1A9F312C22,0
183,5A0266AE-A2CE-437B-BBB4-4E8D6D1F3350,0
184,56C58692-EA81-4302-A973-9ADFA277CC4D,0
185,BCE68C12-40BC-4BF8-A232-8B328FC51BF0,1
186,CA3A9309-07D3-4647-B6B1-0C6B8182596B,1
188,8D48C59E-B993-4A6B-8EF1-BC21CFFD7932,0
189,3B8CDBB9-4038-46C6-B757-162B0BAEC1F4,1
190,97C2018A-77CF-4180-8EA6-F6529D199A3A,1
191,243713D1-BC70-4262-8CAD-7C35389BDF46,0
192,2A84F92A-CECA-4D1C-8471-46EAFBD67F08,1
193,F85A70F5-EBF2-4E31-BDA9-3CE2BDC46491,1
194,8D91F65F-EAF8-4DBE-90BB-4774CF00D784,1
198,04ECDAE3-9D66-4CEC-952D-EF997C3EDBFE,1
199,53131307-DAB9-4BD8-94C2-3C0B2A89054A,0
