,X,X/Y,Y,Z,Z/Y
0,501,1.3839779005524862,362,36,0.09944751381215469
1,508,1.3025641025641026,390,30,0.07692307692307693
2,505,1.3797814207650274,366,55,0.15027322404371585
3,512,1.2673267326732673,404,40,0.09900990099009901
4,508,1.3025641025641026,390,36,0.09230769230769231
5,499,1.3746556473829201,363,27,0.0743801652892562
6,507,1.2396088019559903,409,43,0.10513447432762836
7,512,1.2337349397590363,415,39,0.09397590361445783
8,503,1.3306878306878307,378,85,0.22486772486772486
9,512,1.299492385786802,394,32,0.08121827411167512
10,491,1.2123456790123457,405,26,0.06419753086419754
11,486,1.3846153846153846,351,41,0.1168091168091168
12,512,1.3403141361256545,382,107,0.2801047120418848
13,458,1.453968253968254,315,48,0.1523809523809524
14,512,1.047034764826176,489,110,0.2249488752556237
15,476,1.233160621761658,386,39,0.10103626943005181
16,509,1.3186528497409327,386,102,0.26424870466321243
17,512,1.1689497716894977,438,48,0.1095890410958904
18,512,1.2736318407960199,402,39,0.09701492537313433
19,489,1.2411167512690355,394,97,0.24619289340101522
20,505,1.3685636856368564,369,46,0.12466124661246612
21,512,1.2641975308641975,405,49,0.12098765432098765
22,512,1.3061224489795917,392,37,0.09438775510204081
23,512,1.1531531531531531,444,41,0.09234234234234234
24,483,1.3342541436464088,362,41,0.1132596685082873
25,504,1.309090909090909,385,40,0.1038961038961039
26,512,1.2896725440806045,397,39,0.0982367758186398
27,505,1.3254593175853018,381,35,0.09186351706036745
28,512,1.4065934065934067,364,38,0.1043956043956044
29,511,1.4038461538461537,364,39,0.10714285714285714
30,470,1.3742690058479532,342,37,0.10818713450292397
31,494,1.231920199501247,401,42,0.10473815461346633
32,512,1.4670487106017192,349,46,0.1318051575931232
33,512,1.2864321608040201,398,24,0.06030150753768844
34,510,1.3636363636363635,374,42,0.11229946524064172
35,451,1.2668539325842696,356,28,0.07865168539325842
36,470,1.2876712328767124,365,24,0.06575342465753424
37,496,1.2556962025316456,395,25,0.06329113924050633
38,512,1.17162471395881,437,108,0.2471395881006865
39,481,1.3901734104046244,346,40,0.11560693641618497
40,494,1.4746268656716417,335,100,0.29850746268656714
41,499,1.4463768115942028,345,38,0.11014492753623188
42,504,1.4911242603550297,338,44,0.1301775147928994
43,512,1.3726541554959786,373,39,0.10455764075067024
44,509,1.2984693877551021,392,45,0.11479591836734694
45,467,1.2486631016042782,374,25,0.06684491978609626
