,X,X/Y,Y,Z,Z/Y
0,507,1.2933673469387754,392,97,0.24744897959183673
1,502,1.297157622739018,387,35,0.09043927648578812
2,469,1.2245430809399478,383,136,0.35509138381201044
3,488,1.2577319587628866,388,49,0.12628865979381443
4,428,1.3674121405750799,313,50,0.1597444089456869
5,512,1.3368146214099217,383,41,0.10704960835509138
6,505,1.3466666666666667,375,125,0.3333333333333333
7,462,1.1755725190839694,393,47,0.11959287531806616
8,512,1.2278177458033572,417,105,0.2517985611510791
9,509,1.3359580052493438,381,38,0.09973753280839895
10,458,1.396341463414634,328,53,0.16158536585365854
11,505,1.3254593175853018,381,47,0.12335958005249344
12,512,1.2307692307692308,416,92,0.22115384615384615
13,512,1.322997416020672,387,100,0.25839793281653745
14,512,1.2641975308641975,405,95,0.2345679012345679
15,449,1.2976878612716762,346,38,0.10982658959537572
16,505,1.2625,400,45,0.1125
17,512,1.5192878338278932,337,31,0.09198813056379822
18,498,1.2935064935064935,385,42,0.10909090909090909
19,494,1.3915492957746478,355,41,0.11549295774647887
20,497,1.336021505376344,372,47,0.12634408602150538
21,512,1.292929292929293,396,44,0.1111111111111111
22,483,1.2416452442159382,389,112,0.2879177377892031
23,510,1.3385826771653544,381,32,0.08398950131233596
24,472,1.3295774647887324,355,36,0.10140845070422536
25,503,1.4129213483146068,356,27,0.07584269662921349
26,481,1.4064327485380117,342,43,0.12573099415204678
27,464,1.1806615776081424,393,25,0.06361323155216285
28,506,1.4213483146067416,356,52,0.14606741573033707
29,512,1.2248803827751196,418,30,0.07177033492822966
30,455,1.3112391930835734,347,46,0.13256484149855907
31,483,1.3879310344827587,348,40,0.11494252873563218
32,499,1.471976401179941,339,50,0.14749262536873156
33,512,1.3837837837837839,370,52,0.14054054054054055
34,464,1.310734463276836,354,29,0.08192090395480225
35,474,1.3057851239669422,363,40,0.11019283746556474
36,433,1.1485411140583555,377,37,0.09814323607427056
37,501,1.3763736263736264,364,43,0.11813186813186813
38,476,1.367816091954023,348,38,0.10919540229885058
39,512,1.3161953727506426,389,51,0.13110539845758354
40,461,1.182051282051282,390,25,0.0641025641025641
41,463,1.2754820936639117,363,95,0.26170798898071623
42,512,1.3264248704663213,386,51,0.13212435233160622
43,512,1.257985257985258,407,41,0.10073710073710074
44,473,1.2579787234042554,376,23,0.061170212765957445
45,449,1.2976878612716762,346,38,0.10982658959537572
46,466,1.2010309278350515,388,44,0.1134020618556701
47,476,1.344632768361582,354,44,0.12429378531073447
48,481,1.0344086021505376,465,42,0.09032258064516129
49,450,1.4285714285714286,315,40,0.12698412698412698
50,495,1.3306451612903225,372,47,0.12634408602150538
51,508,1.3474801061007957,377,40,0.10610079575596817
52,506,1.3041237113402062,388,43,0.11082474226804123
53,507,1.3134715025906736,386,38,0.09844559585492228
54,470,1.146341463414634,410,41,0.1
55,512,1.3264248704663213,386,95,0.24611398963730569
56,412,1.3037974683544304,316,36,0.11392405063291139
57,449,1.1281407035175879,398,159,0.39949748743718594
58,488,1.2842105263157895,380,49,0.12894736842105264
59,512,1.3333333333333333,384,41,0.10677083333333333
60,510,1.345646437994723,379,105,0.2770448548812665
61,474,1.373913043478261,345,42,0.12173913043478261
62,482,1.235897435897436,390,40,0.10256410256410256
63,475,1.2768817204301075,372,43,0.11559139784946236
64,512,1.2704714640198511,403,28,0.06947890818858561
65,497,1.384401114206128,359,35,0.09749303621169916
66,490,1.2628865979381443,388,38,0.0979381443298969
67,510,1.3858695652173914,368,92,0.25
68,491,1.3093333333333332,375,39,0.104
69,512,1.1377777777777778,450,35,0.07777777777777778
70,484,1.4447761194029851,335,50,0.14925373134328357
71,512,1.2018779342723005,426,37,0.08685446009389672
72,469,1.3211267605633803,355,117,0.3295774647887324
73,426,1.415282392026578,301,40,0.132890365448505
74,492,1.258312020460358,391,40,0.10230179028132992
75,491,1.1774580335731415,417,25,0.05995203836930456
76,512,1.3800539083557952,371,40,0.1078167115902965
77,456,1.403076923076923,325,90,0.27692307692307694
78,512,1.248780487804878,410,28,0.06829268292682927
79,469,1.3515850144092219,347,42,0.12103746397694524
80,497,1.3396226415094339,371,32,0.0862533692722372
81,512,1.2549019607843137,408,47,0.11519607843137254
82,512,1.2736318407960199,402,40,0.09950248756218906
83,481,1.2270408163265305,392,40,0.10204081632653061
84,512,1.1962616822429906,428,42,0.09813084112149532
85,480,1.3636363636363635,352,31,0.08806818181818182
86,494,1.368421052631579,361,39,0.10803324099722991
87,466,1.2459893048128343,374,39,0.10427807486631016
88,482,1.4052478134110786,343,40,0.11661807580174927
89,511,1.3447368421052632,380,39,0.10263157894736842
90,507,1.2426470588235294,408,46,0.11274509803921569
91,493,1.2905759162303665,382,112,0.2931937172774869
92,512,1.3726541554959786,373,85,0.22788203753351208
93,504,1.3125,384,24,0.0625
94,503,1.2798982188295165,393,38,0.09669211195928754
95,512,1.3298701298701299,385,28,0.07272727272727272
96,512,1.4586894586894588,351,46,0.13105413105413105
97,494,1.283116883116883,385,49,0.12727272727272726
98,512,1.292929292929293,396,38,0.09595959595959595
99,468,1.3257790368271956,353,40,0.11331444759206799
100,500,1.392757660167131,359,43,0.11977715877437325
101,512,1.1797235023041475,434,44,0.10138248847926268
102,445,1.3484848484848484,330,43,0.1303030303030303
103,461,1.320916905444126,349,48,0.13753581661891118
104,512,1.2610837438423645,406,44,0.10837438423645321
105,434,1.3231707317073171,328,111,0.3384146341463415
106,468,1.2546916890080428,373,28,0.07506702412868632
107,448,1.4177215189873418,316,40,0.12658227848101267
108,512,1.2307692307692308,416,22,0.052884615384615384
109,512,1.2962025316455696,395,45,0.11392405063291139
110,457,1.2909604519774012,354,43,0.12146892655367232
111,463,1.3304597701149425,348,41,0.11781609195402298
112,512,1.1879350348027842,431,49,0.1136890951276102
113,482,1.3971014492753624,345,45,0.13043478260869565
114,512,1.3800539083557952,371,43,0.11590296495956873
115,477,1.2788203753351206,373,46,0.12332439678284182
116,506,1.2401960784313726,408,45,0.11029411764705882
117,512,1.3333333333333333,384,92,0.23958333333333334
118,425,1.4655172413793103,290,36,0.12413793103448276
119,512,1.248780487804878,410,49,0.11951219512195121
120,493,1.3146666666666667,375,268,0.7146666666666667
121,512,1.3195876288659794,388,37,0.09536082474226804
122,512,1.1203501094091903,457,42,0.09190371991247265
123,512,1.28,400,40,0.1
124,483,1.2677165354330708,381,46,0.12073490813648294
125,512,1.1962616822429906,428,39,0.0911214953271028
126,512,1.3726541554959786,373,95,0.2546916890080429
127,448,1.353474320241692,331,31,0.09365558912386707
128,512,1.2190476190476192,420,22,0.05238095238095238
129,512,1.2161520190023754,421,45,0.10688836104513064
130,493,1.3926553672316384,354,41,0.11581920903954802
131,499,1.256926952141058,397,38,0.09571788413098237
132,512,1.2190476190476192,420,40,0.09523809523809523
133,512,1.3264248704663213,386,39,0.10103626943005181
134,499,1.3596730245231607,367,39,0.10626702997275204
135,475,1.3649425287356323,348,30,0.08620689655172414
136,482,1.1586538461538463,416,25,0.06009615384615385
137,476,1.3185595567867037,361,39,0.10803324099722991
138,448,1.4688524590163934,305,33,0.10819672131147541
139,491,1.3306233062330624,369,39,0.10569105691056911
140,509,1.2821158690176322,397,38,0.09571788413098237
141,429,1.1594594594594594,370,37,0.1
142,512,1.4182825484764543,361,45,0.12465373961218837
143,512,1.0963597430406853,467,33,0.07066381156316917
144,475,1.280323450134771,371,95,0.2560646900269542
145,512,1.2367149758454106,414,42,0.10144927536231885
146,507,1.1929411764705882,425,45,0.10588235294117647
147,474,1.3093922651933703,362,32,0.08839779005524862
148,502,1.297157622739018,387,43,0.1111111111111111
149,489,1.4132947976878614,346,42,0.12138728323699421
150,481,1.3070652173913044,368,45,0.12228260869565218
151,499,1.2260442260442261,407,39,0.09582309582309582
152,452,1.3294117647058823,340,37,0.10882352941176471
153,469,1.2407407407407407,378,89,0.23544973544973544
154,502,1.379120879120879,364,107,0.29395604395604397
155,498,1.2868217054263567,387,51,0.13178294573643412
156,483,1.3416666666666666,360,43,0.11944444444444445
157,511,1.2617283950617284,405,45,0.1111111111111111
158,512,1.426183844011142,359,31,0.08635097493036212
159,487,1.2455242966751918,391,41,0.10485933503836317
160,496,1.3893557422969187,357,40,0.11204481792717087
161,505,1.240786240786241,407,39,0.09582309582309582
162,512,1.2190476190476192,420,46,0.10952380952380952
163,493,1.2772020725388602,386,49,0.12694300518134716
164,500,1.3513513513513513,370,42,0.11351351351351352
165,512,1.2736318407960199,402,39,0.09701492537313433
166,488,1.3669467787114846,357,43,0.12044817927170869
167,512,1.2132701421800949,422,39,0.0924170616113744
168,502,1.4101123595505618,356,90,0.25280898876404495
169,501,1.403361344537815,357,41,0.11484593837535013
170,510,1.2781954887218046,399,40,0.10025062656641603
171,492,1.1415313225058004,431,41,0.0951276102088167
172,495,1.3342318059299192,371,40,0.1078167115902965
173,512,1.145413870246085,447,37,0.08277404921700224
174,510,1.2028301886792452,424,32,0.07547169811320754
175,475,1.3157894736842106,361,44,0.12188365650969529
176,506,1.2555831265508686,403,65,0.16129032258064516
177,498,1.2418952618453865,401,23,0.057356608478802994
178,512,1.2219570405727924,419,41,0.09785202863961814
179,481,1.15625,416,25,0.06009615384615385
180,468,1.225130890052356,382,45,0.11780104712041885
181,498,1.3315508021390374,374,112,0.2994652406417112
182,506,1.2493827160493827,405,45,0.1111111111111111
183,496,1.3893557422969187,357,40,0.11204481792717087
184,512,1.3689839572192513,374,43,0.11497326203208556
185,497,1.3288770053475936,374,45,0.12032085561497326
186,466,1.3429394812680115,347,42,0.12103746397694524
187,495,1.3270777479892761,373,39,0.10455764075067024
188,494,1.3279569892473118,372,40,0.10752688172043011
189,466,1.2426666666666666,375,39,0.104
190,512,1.248780487804878,410,63,0.15365853658536585
191,500,1.4619883040935673,342,38,0.1111111111111111
192,498,1.3949579831932772,357,38,0.10644257703081232
193,497,1.2809278350515463,388,47,0.1211340206185567
194,503,1.3271767810026385,379,51,0.1345646437994723
195,512,1.3950953678474114,367,27,0.07356948228882834
196,512,1.1934731934731935,429,105,0.24475524475524477
197,497,1.2743589743589743,390,31,0.07948717948717948
198,504,1.3808219178082193,365,35,0.0958904109589041
199,506,1.324607329842932,382,40,0.10471204188481675
200,512,1.3094629156010231,391,36,0.09207161125319693
201,512,1.3195876288659794,388,102,0.26288659793814434
202,441,1.3445121951219512,328,43,0.13109756097560976
203,480,1.3753581661891117,349,46,0.1318051575931232
204,489,1.4684684684684686,333,82,0.24624624624624625
205,511,1.3699731903485255,373,48,0.128686327077748
206,512,1.2278177458033572,417,33,0.07913669064748201
207,512,1.3027989821882953,393,92,0.2340966921119593
208,512,1.3580901856763925,377,27,0.07161803713527852
209,465,1.2774725274725274,364,38,0.1043956043956044
210,457,1.3132183908045978,348,33,0.09482758620689655
211,500,1.3404825737265416,373,37,0.09919571045576407
212,512,1.2161520190023754,421,39,0.09263657957244656
213,492,1.2551020408163265,392,45,0.11479591836734694
214,490,1.3498622589531681,363,120,0.3305785123966942
215,445,1.3819875776397517,322,47,0.14596273291925466
216,493,1.2053789731051345,409,100,0.24449877750611246
217,486,1.3170731707317074,369,48,0.13008130081300814
218,512,1.1797235023041475,434,41,0.0944700460829493
219,460,1.2602739726027397,365,40,0.1095890410958904
220,512,1.3264248704663213,386,38,0.09844559585492228
221,485,1.25,388,44,0.1134020618556701
222,497,1.384401114206128,359,37,0.10306406685236769
223,512,1.3161953727506426,389,41,0.10539845758354756
224,512,1.2518337408312958,409,37,0.09046454767726161
225,498,1.328,375,36,0.096
226,502,1.2871794871794873,390,44,0.11282051282051282
227,512,1.2248803827751196,418,42,0.10047846889952153
228,509,1.3794037940379404,369,37,0.1002710027100271
229,476,1.2526315789473683,380,38,0.1
230,479,1.4255952380952381,336,53,0.15773809523809523
231,512,1.1962616822429906,428,42,0.09813084112149532
232,474,1.2741935483870968,372,95,0.2553763440860215
233,497,1.3324396782841823,373,32,0.08579088471849866
234,509,1.25990099009901,404,46,0.11386138613861387
235,481,1.2208121827411167,394,39,0.09898477157360407
236,427,1.1603260869565217,368,37,0.10054347826086957
237,512,1.248780487804878,410,69,0.16829268292682928
238,496,1.417142857142857,350,48,0.13714285714285715
239,512,1.3027989821882953,393,37,0.09414758269720101
240,473,1.3631123919308357,347,40,0.11527377521613832
241,481,1.1965174129353233,402,38,0.0945273631840796
242,502,1.2938144329896908,388,127,0.327319587628866
243,512,1.4504249291784703,353,42,0.11898016997167139
244,512,1.204705882352941,425,49,0.11529411764705882
245,464,1.1806615776081424,393,25,0.06361323155216285
246,488,1.3153638814016173,371,27,0.07277628032345014
247,505,1.3611859838274933,371,37,0.09973045822102426
248,512,1.2248803827751196,418,39,0.09330143540669857
249,512,1.3438320209973753,381,35,0.09186351706036745
250,512,1.0491803278688525,488,38,0.0778688524590164
251,507,1.2933673469387754,392,39,0.09948979591836735
252,472,1.3074792243767313,361,41,0.11357340720221606
253,497,1.5434782608695652,322,44,0.13664596273291926
254,512,1.1962616822429906,428,43,0.10046728971962617
255,431,1.3682539682539683,315,46,0.14603174603174604
256,512,1.4382022471910112,356,45,0.12640449438202248
257,512,1.3333333333333333,384,38,0.09895833333333333
258,400,1.4760147601476015,271,212,0.7822878228782287
259,501,1.336,375,37,0.09866666666666667
260,447,1.3925233644859814,321,36,0.11214953271028037
261,512,1.2962025316455696,395,38,0.09620253164556962
262,509,1.3831521739130435,368,43,0.11684782608695653
263,470,1.1380145278450364,413,41,0.09927360774818401
264,512,1.1962616822429906,428,115,0.26869158878504673
265,512,1.2397094430992737,413,59,0.14285714285714285
266,456,1.3333333333333333,342,50,0.14619883040935672
267,493,1.3324324324324324,370,39,0.10540540540540541
268,467,1.2453333333333334,375,37,0.09866666666666667
269,508,1.3546666666666667,375,42,0.112
270,512,1.1377777777777778,450,42,0.09333333333333334
271,512,1.292929292929293,396,38,0.09595959595959595
272,499,1.3342245989304813,374,41,0.10962566844919786
273,456,1.0654205607476634,428,189,0.441588785046729
274,512,1.204705882352941,425,37,0.08705882352941176
275,504,1.3263157894736841,380,30,0.07894736842105263
276,512,1.2610837438423645,406,40,0.09852216748768473
277,495,1.348773841961853,367,40,0.10899182561307902
278,451,1.228882833787466,367,268,0.7302452316076294
279,499,1.5353846153846153,325,44,0.13538461538461538
280,479,1.3232044198895028,362,32,0.08839779005524862
281,490,1.4497041420118344,338,35,0.10355029585798817
282,512,1.0987124463519313,466,41,0.08798283261802575
283,511,1.3170103092783505,388,37,0.09536082474226804
284,469,1.2884615384615385,364,36,0.0989010989010989
285,452,1.3216374269005848,342,46,0.13450292397660818
286,468,1.2717391304347827,368,112,0.30434782608695654
287,491,1.3023872679045092,377,43,0.11405835543766578
288,492,1.248730964467005,394,41,0.10406091370558376
289,510,1.1512415349887133,443,44,0.09932279909706546
290,512,1.3875338753387534,369,45,0.12195121951219512
291,501,1.339572192513369,374,38,0.10160427807486631
292,497,1.4039548022598871,354,43,0.12146892655367232
293,496,1.3854748603351956,358,40,0.11173184357541899
294,473,1.3952802359882006,339,95,0.28023598820059
295,512,1.5900621118012421,322,40,0.12422360248447205
296,493,1.32171581769437,373,50,0.13404825737265416
297,512,1.4545454545454546,352,87,0.2471590909090909
298,447,1.4801324503311257,302,47,0.15562913907284767
