,id,ret
0,0013EDC2-8D7A-4A41-AEB5-D3BB592306D2,1
1,0030CBD1-2472-42C4-8CE4-E01A4E8E2F09,1
2,0036DF08-EEEC-467C-8CF1-5A54E0B13CE8,1
3,003D2553-266F-47E3-A420-F5B8F95217A7,0
4,0072E2C1-C395-409B-8078-365DD5C0513E,0
5,00C1E256-E3F7-431D-BCB6-DD1EF09E7DFE,0
7,00CAD9C8-D90B-43C4-9964-79CAE6493DA7,1
8,00D5ADEF-A62D-4DF3-A9C0-31000C826023,0
9,00D6C763-CCE3-4D48-A165-324A36285DAB,0
11,00F9FF74-1D6D-4BF9-BB02-5C33DDADBE13,0
13,0113A22C-CDC6-48F9-ADC2-F2D38EA5FC90,1
14,0116B20D-36FA-4364-93C2-79DCCA2AB177,0
16,0152C839-EB23-41A3-9AA6-8847E54C937C,0
17,01665898-4C2C-4201-B889-D303ACC8D045,0
18,016FC8F3-D808-4AFC-85F2-3DF314B65B78,0
19,01922428-C7A9-45D1-922A-164C1394C970,1
21,01A0F362-15F9-4344-9AB9-B961A0FC4336,0
22,01C2E827-0665-4C99-976D-757E5B9D0F3C,0
23,01D03196-A1C9-4EA8-A729-8896EF4DB348,0
24,01F14201-7DC3-4F27-9F93-950E17B700B9,0
25,02038AEF-061B-43B1-A6CE-F236F9BB54EA,0
26,02400A3A-B9CC-42DA-92FF-98D3780A61F6,1
27,0245345F-733A-4BE8-887B-BBE122DBECCC,0
28,02459974-2670-4928-9FBD-99C658E85F19,0
30,0273E2EA-FD32-4194-B126-153D7EB6F217,1
31,0279B667-5ACE-4676-9406-20CD127FB939,0
32,02851F30-0EE0-43F6-9DFF-EA26E2E4C047,0
35,02B8102B-B9D4-4A3F-9D75-68645E3BADB8,0
36,02C40837-11A8-4405-BE7D-5077D78CDE92,1
37,02C42C51-DADF-493B-8E00-8E8BDD7A86BC,1
40,02F4C43E-F492-4C64-9F48-DF9CC80A853E,0
41,03026CF1-14EF-4869-993A-954E9178BBB3,0
43,03D73D44-F9F4-4285-9551-A43CC2EC09DD,0
44,03E3542D-C175-4751-A8E3-EBEFD6B51C0E,0
45,03F54C82-B553-4B1D-A541-5A212E8BF6F1,0
46,03F7F871-AE4C-4DB9-9CF6-DC421B78E745,1
47,03FE1687-AF38-46FD-93D2-973A29D2D703,0
48,0424C1D5-F604-45EA-8A85-BED821C85C85,1
49,042B2E67-3B48-4743-9D6B-EC2AE694F6B0,0
51,043E823E-EF81-49E2-A3D9-6A2E0568AB2B,1
52,04545A7F-8111-4B26-BE33-B2ABA0ACF36B,0
53,0467CA88-C525-4234-B868-F4D4C5CEEA26,0
54,046A518C-9C0D-49E9-9D2F-9993E0A5F4CB,0
55,048650E3-E30D-4424-8A33-DF11D02F2414,0
